u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
483125845,483133323,茂名南路,residential,0,258.575, , , , , , , ,4952,138,180
483126248,131167245,襄阳南路,tertiary,1,181.05, , , , , , , ,4953,379,181
483126248,552679258,南昌路,residential,1,283.1040000000001, , , , , , , ,4954,34,182
483133315,483133323,茂名南路,residential,1,345.654, , , , , , , ,4955,127,183
483133315,109425332,永嘉路,residential,0,230.344, , , , , , , ,4956,148,184
483133315,554236871,永嘉路,residential,0,211.848, , , , , , , ,4957,254,185
483133323,554236870,复兴中路,secondary,1,178.123,2, , , , , , ,4958,671,186
483133323,483125845,茂名南路,residential,0,258.575, , , , , , , ,4959,141,187
483133333,109425825,淮海中路,secondary,0,283.285,2, , , , , , ,4960,623,188
483133333,483125845,茂名南路,residential,0,173.34099999999995, , , , , , , ,4961,189,189
483133333,483133346,茂名南路,residential,0,347.694, , , , , , , ,4962,249,190
483133333,600504932,淮海中路,secondary,0,237.563,2, , , , , , ,4963,469,191
483133346,109426242,长乐路,tertiary,0,305.982,1, , , , , , ,4964,266,192
483133346,600487399,长乐路,tertiary,0,249.045,1, , , , , , ,4965,184,193
483133346,2329789972,茂名南路,residential,0,113.543, , , , , , , ,4966,140,194
483133346,483133333,茂名南路,residential,0,347.694, , , , , , , ,4967,350,195
483133364,479307526,巨鹿路,residential,0,271.063, , , , , , , ,4968,64,196
483133364,1576354819,巨鹿路,residential,0,357.374, , , , , , , ,4969,315,197
483133364,2329789972,茂名南路,residential,0,143.28, , , , , , , ,4971,328,198
486179370,486193994,重庆南路,primary,1,209.256, , , , , , , ,5069,503,199
486179370,76482203,复兴中路,secondary,1,291.048,2, , , , , , ,5070,759,200
486193667,2716408719,鲁班路,primary,1,42.203,4, , , , , , ,5082,609,201
486193835,486194095,重庆南路,primary,1,184.677, , , , , , , ,5084,448,202
486193994,486193835,重庆南路,primary,1,377.132, , , , , , , ,5087,428,203
486194095,2716408636,重庆南路,primary,1,42.332, , , , , , , ,5088,1478,204
486196383,1882296810,斜土路,secondary,0,390.051, , , , , , , ,5090,418,205
552679258,483125845,南昌路,residential,1,225.849, , , , , , , ,5247,46,206
552679258,554236870,陕西南路,secondary,1,208.75,3, , , , , , ,5248,632,207
552679267,600504932,陕西南路,secondary,1,207.505,3, , , , , , ,5249,780,208
554224858,2974114621,建国西路,secondary,1,495.514, , , , , , , ,5282,359,209
554224858,600504930,陕西南路,secondary,1,359.327,3, , , , , , ,5283,793,210
554236865,1414884245,宛平路,residential,0,336.295, , , , , , , ,5286,43,211
554236865,603891432,淮海中路,secondary,0,199.117,2, , , , , , ,5287,322,212
554236865,105253431,淮海中路,secondary,0,258.35,2, , , , , , ,5288,522,213
554236870,601669728,复兴中路,secondary,1,164.146,2, , , , , , ,5289,517,214
554236870,554236871,陕西南路,secondary,1,374.699,3, , , , , , ,5290,792,215
554236871,483133315,永嘉路,residential,0,211.848, , , , , , , ,5291,238,216
554236871,601669709,永嘉路,residential,0,217.049, , , , , , , ,5292,194,217
554236871,858404226,陕西南路,secondary,1,189.541,3, , , , , , ,5293,779,218
554236879,483119801,思南路,residential,1,174.65799999999996,1, , , , , , ,5294,161,219
554236879,109425825,淮海中路,secondary,0,208.17,2, , , , , , ,5295,400,220
554236879,477597199,淮海中路,secondary,0,248.303,2, , , , , , ,5296,505,221
554238927,857586333,宝庆路,secondary,1,211.835, , , , , , , ,5297,618,222
554238927,63338299,淮海中路,secondary,0,272.963,2, , , , , , ,5298,363,223
554238927,603891496,淮海中路,secondary,0,166.122,2, , , , , , ,5299,398,224
554238927,1576354815,常熟路,secondary,0,137.426,2, , , , , , ,5300,547,225
565224366,1882296810,斜土路,secondary,0,304.234, , , , , , , ,5690,442,226
565224366,600504910,斜土路,secondary,0,17.933, , , , , , , ,5691,442,227
565224366,858404364,瑞金南路,secondary,1,382.501, , , , , , , ,5692,396,228
574737611,640482387,华山路,secondary,0,87.093, , , , , , , ,5774,157,229
574737611,994909970,华山路,secondary,0,138.77, , , , , , , ,5775,198,230
600486973,4470004597,华山路,secondary,0,8.123, , , , , , , ,5887,266,231
600486973,154073129,长乐路,residential,0,502.504,1, , , , , , ,5888,183,232
600486973,154080003,华山路,secondary,0,608.28, , , , , , , ,5890,130,233
600487399,130022631,长乐路,residential,0,286.583,1, , , , , , ,5891,200,234
600487399,483133346,长乐路,tertiary,0,249.045,1, , , , , , ,5892,181,235
600487399,552679267,陕西南路,secondary,1,188.181,3, , , , , , ,5893,689,236
600504910,623410145,瑞金南路,secondary,1,422.337, , , , , , ,yes,5927,299,237
600504910,856908765,斜土路,secondary,0,358.864,4, , , , , , ,5928,436,238
600504910,565224366,斜土路,secondary,0,17.933, , , , , , , ,5929,555,239
600504912,2971125939,肇嘉浜路,primary,1,49.468,4, , , ,60, , ,5930,1106,240
600504930,601669716,肇嘉浜路,primary,1,128.988,4, , , , , , ,5931,1308,241
600504930,600504912,陕西南路,secondary,1,34.842,3, , , , , , ,5932,390,242
600504932,552679258,陕西南路,secondary,1,194.034,3, , , , , , ,5933,642,243
600504932,131167245,淮海中路,secondary,0,247.988,2, , , , , , ,5934,623,244
600504932,483133333,淮海中路,secondary,0,237.563,2, , , , , , ,5935,624,245
601669704,601669706,永嘉路,residential,0,278.611, , , , , , , ,6049,153,246
601669704,94632188,永嘉路,residential,0,352.119, , , , , , , ,6050,150,247
601669704,601675009,岳阳路,residential,1,277.35900000000004, , , , , , , ,6051,342,248
601669706,601675075,太原路,residential,1,342.057, , , , , , , ,6052,369,249
601669706,601669708,永嘉路,residential,0,358.2150000000001, , , , , , , ,6053,189,250
601669706,601669704,永嘉路,residential,0,278.611, , , , , , , ,6054,176,251
601669708,601681519,襄阳南路,tertiary,1,189.749, , , , , , , ,6055,349,252
601669708,601669709,永嘉路,residential,0,155.068, , , , , , , ,6056,146,253
601669708,601669706,永嘉路,residential,0,358.2150000000001, , , , , , , ,6057,151,254
601669709,554236871,永嘉路,residential,0,217.049, , , , , , , ,6058,159,255
601669709,601669708,永嘉路,residential,0,155.068, , , , , , , ,6059,145,256
601669709,601681509,嘉善路,residential,1,189.877, , , , , , , ,6060,68,257
601669716,107744185,肇嘉浜路,primary,1,13.895,4, , , , , , ,6061,1196,258
601669716,5000715349,嘉善路,residential,1,22.522, , , , , , , ,6062,108,259
601669719,601669709,嘉善路,residential,1,416.795, , , , , , , ,6063,97,260
601669719,554224858,建国西路,secondary,1,187.466, , , , , , , ,6064,284,261
601669728,131166911,复兴中路,secondary,1,172.84699999999995,2, , , , , , ,6065,545,262
601675009,82515933,岳阳路,residential,1,62.008, , , , , , , ,6066,261,263
601675009,82515934,岳阳路,unclassified,1,81.979, , , , , , , ,6067,211,264
601675019,107758818,肇嘉浜路,primary,1,300.2150000000001,4, , , , , , ,6068,1054,265
601675019,601675069,岳阳路,residential,1,306.281, , , , , , , ,6069,385,266
601675042,622622029,斜土路,secondary,0,11.965,4, , , , , , ,6070,491,267
601675042,601675044,大木桥路,tertiary,1,254.185, , , , , , , ,6071,69,268
601675042,856908765,斜土路,secondary,0,305.92999999999995,4, , , , , , ,6072,402,269
